River,Location within the river,Predation level,Group or single,Group size,Number of approaches to the True stimulus,Number of approaches to the False stimulus,First approach (to True or False stimulus)
Aripo,upper,low,group,3,1,1,t
Aripo,upper,low,group,4,0,1,f
Aripo,upper,low,group,7,1,2,f
Aripo,upper,low,group,12.5,1,1,f
Aripo,upper,low,group,5.5,1,0,t
Aripo,upper,low,group,12,2,0,t
Aripo,upper,low,group,10,1,1,t
Aripo,upper,low,group,10,0,0,NA
Aripo,upper,low,group,8,0,1,f
Aripo,upper,low,group,12,1,0,t
Aripo,upper,low,group,15,0,0,NA
Aripo,upper,low,group,17.5,1,0,t
Aripo,upper,low,group,10,1,0,t
Aripo,upper,low,group,10,2,0,t
Aripo,upper,low,group,8,1,1,f
Aripo,upper,low,group,15,0,0,NA
Aripo,upper,low,group,10,1,0,t
Aripo,upper,low,group,11,2,2,f
Aripo,upper,low,group,10,1,1,t
Aripo,upper,low,group,10,2,2,t
Aripo,upper,low,group,8,1,1,f
Aripo,upper,low,group,11,0,0,NA
Aripo,upper,low,group,12,6,0,t
Aripo,upper,low,group,18,1,0,t
Aripo,upper,low,group,13,1,3,f
Aripo,upper,low,group,21,0,0,NA
Aripo,upper,low,group,5,0,0,NA
Aripo,upper,low,group,7,1,1,t
Aripo,upper,low,group,15,1,0,t
Aripo,upper,low,group,7,0,1,f
Aripo,upper,low,group,9,0,1,f
Aripo,upper,low,group,14,3,0,t
Aripo,upper,low,group,8.5,1,1,t
Aripo,upper,low,group,15,4,2,f
Aripo,upper,low,group,30,1,1,t
Aripo,upper,low,group,19,1,0,t
Turure,lower,high,group,22.5,0,1,f
Turure,lower,high,group,18,0,0,NA
Turure,lower,high,group,9.5,0,0,NA
Turure,lower,high,group,2,0,0,NA
Turure,lower,high,group,11,1,0,t
Turure,lower,high,group,15,0,1,f
Turure,lower,high,group,20,0,0,NA
Turure,lower,high,group,12,1,0,t
Turure,lower,high,group,30,1,0,t
Turure,lower,high,group,7,0,0,NA
Turure,lower,high,group,10,4,0,t
Turure,lower,high,group,8,1,0,t
Turure,lower,high,group,12.5,0,0,NA
Turure,lower,high,group,27,4,0,t
Turure,lower,high,group,27.5,0,0,NA
Turure,lower,high,group,50,2,0,t
Turure,lower,high,group,16,0,0,NA
Turure,lower,high,group,15,0,0,NA
Turure,lower,high,group,9,2,4,f
Turure,lower,high,group,15,0,3,f
Turure,lower,high,group,20,0,0,NA
Turure,lower,high,group,27.5,0,0,NA
Turure,lower,high,group,3,1,1,f
Turure,lower,high,group,30,3,0,t
Turure,lower,high,group,40,0,0,NA
Turure,lower,high,group,12.5,0,2,f
Turure,lower,high,group,17.5,2,1,t
Turure,lower,high,group,7,0,1,f
Turure,lower,high,singleton,1,0,0,NA
Turure,lower,high,group,7,1,3,f
Turure,lower,high,group,7.5,1,0,t
Turure,lower,high,group,11,1,0,t
Turure,lower,high,group,13,0,0,NA
Turure,lower,high,group,9,5,0,t
Turure,lower,high,group,4.5,0,1,f
Turure,lower,high,group,6.5,6,1,t
Turure,lower,high,group,4,3,0,t
Turure,lower,high,group,15,1,0,t
Turure,lower,high,group,10,0,0,NA
Turure,lower,high,singleton,1,2,0,t
Turure,lower,high,group,2,2,0,t
Turure,lower,high,group,7,14,3,t
Turure,lower,high,group,16,0,0,NA
Turure,upper,low,singleton,1,3,1,t
Turure,upper,low,group,14,2,0,t
Turure,upper,low,group,2,8,0,t
Turure,upper,low,group,4,2,2,t
Turure,upper,low,group,13.5,1,1,t
Turure,upper,low,group,3.5,0,1,f
Turure,upper,low,group,10,1,1,f
Turure,upper,low,group,4,2,0,t
Turure,upper,low,group,4,4,1,t
Turure,upper,low,group,6,11,1,t
Turure,upper,low,group,3.5,6,0,t
Turure,upper,low,group,7.5,2,1,t
Turure,upper,low,group,7,0,0,NA
Turure,upper,low,group,6,4,1,t
Turure,upper,low,group,7,3,2,t
